filename	type	bwt	max_mem1	max_mem2	max_mem3	time1	time2	time3	inputSize	outputSize1	outputSize2	outputSize3
./Datasets/proteins/HomoSapien_red.fnn	protein	naivebwt	451.484375	451.765625	451.734375	5.61	5.2	5.13	90.04872608184814	90.04873371124268	90.04873371124268	90.04873371124268
./Datasets/english/Bible_KJV.txt	english	naivebwt	22.671875	22.671875	22.640625	0.15	0.15	0.15	4.245823860168457	4.245831489562988	4.245831489562988	4.245831489562988
./Datasets/english/J. K. Rowling - Harry Potter 3 - Prisoner of Azkaban.txt	english	naivebwt	4.515625	4.421875	4.359375	0.02	0.02	0.02	0.5832681655883789	0.5832757949829102	0.5832757949829102	0.5832757949829102
./Datasets/english/english.100MB	english	naivebwt	501.5	501.4375	501.4375	5.95	5.87	5.94	100.0	100.00000762939453	100.00000762939453	100.00000762939453
./Datasets/english/english.1024MB	english	naivebwt	2561.03125	2560.765625	2561.21875	76.24	84.71	74.86	1024.0	1024.0000114440918	1024.0000114440918	1024.0000114440918
./Datasets/english/english.50MB	english	naivebwt	251.46875	251.46875	251.46875	2.86	2.84	2.79	50.0	50.00000762939453	50.00000762939453	50.00000762939453
./Datasets/english/english.200MB	english	naivebwt	1001.46875	1001.5	1001.40625	12.74	13.09	13.1	200.0	200.00000762939453	200.00000762939453	200.00000762939453
./Datasets/english/english	english	naivebwt	2561.421875	2561.359375	2561.484375	141.52	155.08	140.35	2107.99746799469	2107.9974908828735	2107.9974908828735	2107.9974908828735
./Datasets/english/J. K. Rowling - Harry Potter 4 - The Goblet of Fire.txt	english	naivebwt	6.78125	6.6875	6.71875	0.04	0.03	0.04	1.057795524597168	1.0578031539916992	1.0578031539916992	1.0578031539916992
./Datasets/english/percy_jackson_book_1.txt	english	naivebwt	4.015625	3.921875	3.953125	0.02	0.02	0.02	0.5012903213500977	0.5012979507446289	0.5012979507446289	0.5012979507446289
./Datasets/english/J. K. Rowling - Harry Potter 1 - Sorcerer's Stone.txt	english	naivebwt	3.5	3.53125	3.5	0.01	0.01	0.01	0.4193706512451172	0.41937828063964844	0.41937828063964844	0.41937828063964844
./Datasets/english/J. K. Rowling - Harry Potter 2 - The Chamber Of Secrets.txt	english	naivebwt	3.828125	3.765625	3.796875	0.02	0.01	0.01	0.4693317413330078	0.46933937072753906	0.46933937072753906	0.46933937072753906
./Datasets/english/percy_jackson_book_2.txt	english	naivebwt	3.21875	3.1875	3.21875	0.01	0.01	0.01	0.35627269744873047	0.3562803268432617	0.3562803268432617	0.3562803268432617
./Datasets/english/percy_jackson_book_3.txt	english	naivebwt	3.390625	3.328125	3.359375	0.01	0.01	0.01	0.3838796615600586	0.38388729095458984	0.38388729095458984	0.38388729095458984
./Datasets/english/percy_jackson_book_4.txt	english	naivebwt	3.828125	3.921875	3.796875	0.02	0.02	0.02	0.47038936614990234	0.4703969955444336	0.4703969955444336	0.4703969955444336
./Datasets/english/percy_jackson_book_5.txt	english	naivebwt	3.84375	3.8125	3.9375	0.02	0.02	0.02	0.47524356842041016	0.4752511978149414	0.4752511978149414	0.4752511978149414
./Datasets/dna/dna.50MB	dna	naivebwt	251.5	251.4375	251.46875	2.84	2.83	2.8	50.0	50.00000762939453	50.00000762939453	50.00000762939453
./Datasets/dna/HomoSapiens_red.fna	dna	naivebwt	2561.4375	2561.28125	2561.375	190.23	192.11	196.63	2899.2245836257935	2899.2246103286743	2899.2246103286743	2899.2246103286743
./Datasets/dna/dna.100MB	dna	naivebwt	501.46875	501.4375	501.46875	6.15	6.11	6.63	100.0	100.00000762939453	100.00000762939453	100.00000762939453
./Datasets/dna/MusMusculus_red.fna	dna	naivebwt	2561.4375	2561.328125	2561.359375	186.3	182.0	184.23	2601.838397026062	2601.838423728943	2601.838423728943	2601.838423728943
./Datasets/dna/dna.200MB	dna	naivebwt	1001.46875	1001.46875	1001.5	13.12	13.1	13.57	200.0	200.00000762939453	200.00000762939453	200.00000762939453
./Datasets/dna/dna	dna	naivebwt	1927.53125	1927.21875	1927.21875	26.93	27.51	27.34	385.2155170440674	385.2155246734619	385.2155246734619	385.2155246734619
